"","Phenotype_Name","Phenotype_Discription","Phenotype_Symptoms","Phenotype_Treatment","Phenotype_Age","Phenotype_Gender","Phenotype_Number"
"43","Sjogren's syndrome","Sjogren’s syndrome also known as Mikulicz disease and Sicca syndrome, is a chronic inflammatory autoimmune disease characterized by dryness of mucous membranes, especially of the eyes and mouth and often associated with rheumatoid arthritis.","Fatigue;Dry eyes;Dry mouth;Pain;Insomnia;Anxious mood;Depressed mood","Lubricant Eye Drops;Hydroxychloroquine;
more
;Cyclosporine ophthalmic;Pilocarpine;
more
;Tramadol;
more
;Gabapentin;
more
;Hydrocodone-Acetaminophen;
more
;Cevimeline;Duloxetine;
more
;Diclofenac","<20;2;20s;58;30s;252;40s;586;50s;796;60s;456;70+;100","Female=97%;Male=3%",43
"44","Galactosemia","Galactosemia is a disorder that affects how the body processes a simple sugar called galactose. There are several types of galactosemia each caused by mutations in a particular gene. Type I is the most common and most severe form. The condition is inherited in an autosomal recessive pattern.","Depressed mood;Fatigue;Anxious mood;Insomnia;Pain","","<20;0;20s;1;30s;1;40s;0;50s;1;60s;1;70+;0","Female=50%;Male=50%",44
"45","Hepatitis C","Hepatitis C is a viral disease that leads to inflammation of the liver caused by the hepatitis C virus transmitted primarily by contaminated blood and is often associated with transfusion and IV drug abuse. However, in some case the source of hepatitis C is unknown.","Fatigue;Pain;Insomnia;Depressed mood;Anxious mood","Ledipasvir-sofosbuvir;
more
;Sofosbuvir;Ribavirin;
more
;Peginterferon alfa-2b;Lorazepam;Amitriptyline;Bupropion;
more
;Duloxetine;Mirtazapine;Peginterferon alfa 2a;
more
","<20;1;20s;34;30s;85;40s;92;50s;219;60s;233;70+;33","Female=59%;Male=41%",45
"46","Hepatitis B","Hepatitis B is a viral infection that causes inflammation of the liver. It is primarily transmitted by IV exposure, such as transfusion of contaminated blood or blood products, but can also be transmitted via sexual or intimate personal contact.","Fatigue;Insomnia;Depressed mood;Pain;Anxious mood","Tenofovir;Entecavir;Sertraline;Duloxetine;Exercise walking;Heat therapy;Hydrocodone-Acetaminophen;Hydroxyzine;Limu;Peginterferon alfa 2a","<20;1;20s;26;30s;70;40s;45;50s;33;60s;28;70+;13","Female=32%;Male=68%",46
"47","Hepatitis A","Hepatitis A (formerly known as infectious hepatitis) is an acute infectious disease of the liver caused by the hepatitis A virus (HAV), which is most commonly transmitted by the fecal-oral route via contaminated food or drinking water.","Fatigue;Pain;Anxious mood;Depressed mood;Malaise;Insomnia;Fever;Jaundice","Alprazolam;
more
;Aripiprazole;Clonazepam;Fentanyl patch;Meditation;Melatonin;Oxycodone;Rescue Remedy (Dr. Bach);Zolpidem","<20;1;20s;6;30s;4;40s;4;50s;8;60s;4;70+;0","Female=61%;Male=39%",47
"48","Irritable bowel syndrome","Irritable bowel syndrome is a chronic noninflammatory disease characterized by abdominal pain, altered bowel habits consisting of diarrhea or constipation or both, and no detectable pathologic change in the intestinal tissue.","Fatigue;Pain;Abdominal bloating;Anxious mood;Abdominal cramps;Depressed mood;Insomnia;Constipation;Diarrhea","Tramadol;
more
;Dicyclomine;
more
;Gabapentin;
more
;Amitriptyline;
more
;Duloxetine;
more
;Hydrocodone-Acetaminophen;
more
;Clonazepam;
more
;Loperamide;Cyclobenzaprine;
more
;Trazodone;
more
","<20;33;20s;477;30s;1,054;40s;1,585;50s;1,569;60s;769;70+;145","Female=89%;Male=11%",48
"49","Diabetes insipidus","Diabetes insipidus, also called central diabetes insipidus, is caused by decreased secretion of antidiuretic hormone from the pituitary gland and is characterized by excessive volumes of urine that is diluted in appearance and excessive thirst.","Fatigue;Excessive thirst (polydipsia);Excessive amounts of urine (polyuria);Depressed mood;Insomnia;Anxious mood;Pain","Desmopressin;Clonazepam;Gabapentin;Tramadol;Alprazolam;Clorazepate;Colesevelam;Cyclobenzaprine;Dapagliflozin-metformin;Fluoxetine","<20;9;20s;25;30s;44;40s;71;50s;116;60s;85;70+;31","Female=60%;Male=40%",49
"50","Diabetes type 2","Type 2 diabetes mellitus is characterized by insulin resistance or desensitization and increased blood glucose (sugar) levels. It is a chronic disease that can develop gradually over time and can be linked to both environmental factors and heredity.","Fatigue;Hunger;Problems concentrating;Pain;Feet tingling;Nerve pain (neuralgia);Insomnia;Depressed mood;Anxious mood;Sweating;Hands tingling;Shakiness;Blurry vision","Metformin;
more
;Insulin Glargine;
more
;Gabapentin;
more
;Glipizide;
more
;Glimepiride;
more
;Sitagliptin;
more
;Liraglutide;
more
;Tramadol;
more
;Insulin Aspart;
more
;insulin detemir;
more
","<20;18;20s;392;30s;1,269;40s;4,097;50s;8,840;60s;8,176;70+;2,917","Female=64%;Male=36%",50
"51","Diabetes type 1","Type 1 diabetes mellitus (DM), usually diagnosed in children and young adults, can occur at any age when the pancreas does not produce insulin, a hormone needed to control the body's blood sugar levels. It requires daily monitoring of blood sugar, insulin therapy, diet modification and exercise.","Fatigue;Depressed mood;Pain;Frequent urination;Anxious mood;Excessive thirst (polydipsia);Blurry vision;Insomnia","Insulin Glargine;
more
;Insulin Aspart;Insulin Lispro;
more
;insulin detemir;Metformin;Citalopram;Continuous Glucose Monitor (CGM);Gabapentin;Insulin pump;Insulin Regular","<20;90;20s;468;30s;597;40s;618;50s;537;60s;238;70+;54","Female=61%;Male=39%",51
"52","Rheumatoid arthritis","Rheumatoid arthritis (RA) is a chronic, systemic (whole body) disorder that may affect many tissues and organs, but principally affects the thin, loose vascular connective tissue (synovial tissue) that makes up the membranes surrounding joints.","Joint pain;Stiffness in morning;Fatigue;Pain;Insomnia;Depressed mood;Anxious mood","Methotrexate;
more
;Hydroxychloroquine;
more
;Adalimumab;
more
;Sulfasalazine;
more
;Etanercept;
more
;Leflunomide;
more
;Prednisone;
more
;Abatacept;
more
;Tocilizumab;
more
;Tramadol;
more
","<20;19;20s;402;30s;1,107;40s;2,607;50s;3,511;60s;2,053;70+;489","Female=89%;Male=11%",52
"53","Amlyoidosis","Amyloidosis is a group of diseases in which protein is deposited locally in specific organs or throughout the body.  Generally, primary amyloidosis affects nerves, skin, tongue, joints, heart and liver; secondary amyloidosis often affects the spleen, kidneys, liver and adrenal glands.","Fatigue;Anxious mood;Insomnia;Pain;Depressed mood","Dexamethasone;
more
;Carfilzomib","<20;0;20s;0;30s;0;40s;4;50s;23;60s;18;70+;10","Female=53%;Male=47%",53
"54","Rheumatic fever","Rheumatic fever is an inflammatory disorder that follows infection with group A streptococcus. It may affect the heart, joints, and subcutaneous tissues.","Fatigue;Pain;Insomnia;Depressed mood;Anxious mood","Amphetamine-Dextroamphetamine;Tramadol;Amitriptyline;Aspirin;
more
;Bupropion;Gabapentin;Hydrocodone-Acetaminophen;Meloxicam;Prednisone;
more
","<20;2;20s;11;30s;15;40s;15;50s;9;60s;10;70+;3","Female=59%;Male=41%",54
"55","Interstitial cystitis","Interstitial cystitis, also known as painful bladder syndrome, is a non-infectious condition with recurring discomfort or pain in the urinary bladder and the surrounding pelvic region without an identifiable disease.","Fatigue;Pain;Frequent urination;Urinary urgency;Pelvic pain;Anxious mood;Insomnia;Depressed mood","Pentosan polysulfate sodium;Amitriptyline;
more
;Hydroxyzine;
more
;Tramadol;
more
;Phenazopyridine;
more
;Duloxetine;
more
;Gabapentin;
more
;Hydrocodone-Acetaminophen;
more
;Pregabalin;
more
;Trazodone","<20;2;20s;82;30s;196;40s;306;50s;279;60s;143;70+;25","Female=96%;Male=4%",55
"56","Asthma","Asthma is a chronic respiratory disease manifested as difficulty breathing due to the narrowing of bronchial passageways which may be accompanied by wheezing, coughing, and a sense of constriction in the chest.","Fatigue;Pain;Shortness of breath (dyspnea);Anxious mood;Chest tightness;Cough;Insomnia;Depressed mood;Wheezing","Albuterol;
more
;Prednisone;
more
;Fluticasone;
more
;Tramadol;
more
;Amitriptyline;
more
;Gabapentin;
more
;Fluticasone nasal spray;
more
;Pregabalin;
more
;Budesonide;
more
;Trazodone;
more
","<20;146;20s;825;30s;1,385;40s;1,821;50s;1,627;60s;893;70+;193","Female=80%;Male=20%",56
"57","Chronic obstructive pulmonary disease","Chronic obstructive pulmonary disease is a chronic, irreversible obstruction of air flow from the lungs that includes chronic bronchitis, emphysema, and a range of other lung disorders. The two main types of chronic obstructive pulmonary disease are chronic obstructive bronchitis and emphysema.","Fatigue;Shortness of breath (dyspnea);Pain;Phlegm;Cough;Anxious mood;Wheezing;Insomnia;Depressed mood","Albuterol;
more
;Prednisone;
more
;Oxygen therapy;
more
;Tiotropium inhaler;
more
;Fluticasone-Salmeterol;
more
;Budesonide-Formoterol;
more
;Fluticasone;Gabapentin;
more
;Budesonide;
more
;Tramadol;
more
","<20;0;20s;24;30s;77;40s;363;50s;944;60s;907;70+;501","Female=77%;Male=23%",57
"58","Goodpasture syndrome","Goodpasture’s syndrome is an autoimmune disorder that usually involves both the lungs and the kidneys. Substances called anti-glomerular basement membrane antibodies are mistakenly released causing damage to the filtering system of the kidneys and air sacs in the lungs.","Depressed mood;Fatigue;Insomnia;Anxious mood;Pain","","<20;1;20s;13;30s;14;40s;11;50s;7;60s;4;70+;1","Female=55%;Male=45%",58
"59","Focal glomerulosclerosis","Focal segmented glomerulosclerosis is kidney disorder that is characterized by the formation of scar tissue in some of the glomeruli, structures that are the first step in the filtering of blood into urine. Not all glomeruli are affected and those that are may only have segments that are scarred.","Foamy or frothy urine;Fatigue;Insomnia;Edema (fluid retention);Depressed mood;Anxious mood;Pain","Atorvastatin;Lisinopril;Simvastatin","<20;1;20s;12;30s;30;40s;45;50s;50;60s;15;70+;3","Female=63%;Male=37%",59
"60","Henoch-Schonlein purpura","Henoch-Schoenlein purpura (HSP) is a systemic vasculitis (inflammation of blood vessels) that is due to deposits of the antibody IgA in the small vessels and kidneys. Patients present with a rash (purpura) caused by small hemorrhages in the skin.","Fatigue;Depressed mood;Anxious mood;Insomnia;Pain","Acetaminophen (Paracetamol);Methylprednisolone;
more
;Pantoprazole","<20;4;20s;3;30s;17;40s;6;50s;7;60s;2;70+;0","Female=66%;Male=34%",60
"61","IgA nephropathy","IgA nephropathy is a chronic autoimmune glomerulonephritis characterized by the deposition of antibodies to a protein called IgA in the glomeruli of the kidney, the structures that are the first step in filtering blood to from urine. It is the most common cause of primary glomerulonephritis.","Fatigue;Blood in urine (hematuria);Insomnia;Depressed mood;Anxious mood;Pain","Prednisone;
more
;Methylprednisolone;
more
;Armodafinil;Atorvastatin;Clonazepam;Duloxetine;Esomeprazole;Fish Oil;Furosemide;Kidney Transplant","<20;2;20s;11;30s;70;40s;81;50s;57;60s;25;70+;0","Female=58%;Male=42%",61
"62","Membranoproliferative glomerulonephritis","Membranoproliferative glomerulonephritis is an immune response that deposits antibodies in the glomerular basement membrane of the kidneys disrupting the ability of the membrane to properly filter blood and form urine.","Fatigue;Depressed mood;Insomnia;Anxious mood;Blood in urine (hematuria);Pain","Prednisone","<20;1;20s;2;30s;4;40s;4;50s;0;60s;0;70+;0","Female=55%;Male=45%",62
"63","Sarcoidosis","Sarcoidosis is an inflammatory disease characterized by small lumps or granulomas. It usually invades the lungs with fibrosis and may also involve lymph nodes, skin, liver, spleen, eyes, phalangeal bones, and parotid glands.","Fatigue;Pain;Insomnia;Anxious mood;Depressed mood","Prednisone;
more
;Methotrexate;
more
;Hydroxychloroquine;Hydrocodone ER;Meloxicam;Tramadol;Acetaminophen (Paracetamol);Amphetamine-Dextroamphetamine;Azathioprine;Cannabis","<20;1;20s;8;30s;30;40s;112;50s;110;60s;83;70+;18","Female=76%;Male=24%",63
"64","High blood pressure (hypertension)","Blood pressure is considered high when the systolic (upper number) reading is consistently greater than 140 or when diastolic (lower number) is consistently 90 or greater.","Fatigue;Pain;Anxious mood;Insomnia;Depressed mood","Lisinopril;
more
;Amlodipine;
more
;Hydrochlorothiazide HCTZ;
more
;Metoprolol;
more
;Losartan;
more
;Tramadol;
more
;Gabapentin;
more
;Clonazepam;
more
;Hydrocodone-Acetaminophen;
more
;Duloxetine;
more
","<20;14;20s;234;30s;1,015;40s;2,539;50s;4,198;60s;3,230;70+;975","Female=70%;Male=30%",64
"65","Liver cancer","Cancer is the liver that starts in the liver is known as primary liver cancer or hepatocellular cancer.  Cancer in the liver may be cancer cells spreading from another location such as the gastrointestinal tract, breast, lung, and pancreas.  This is known as metastatic liver cancer.","Fatigue;Pain;Insomnia;Depressed mood;Anxious mood","Chemoembolization;Amitriptyline;Aripiprazole;Duloxetine;Myrin P-Forte;Sorafenib","<20;0;20s;3;30s;19;40s;8;50s;12;60s;21;70+;19","Female=43%;Male=57%",65
"66","Lung cancer","Lung cancers are generally divided into two main categories: small cell lung cancers (SCLC) and non-small cell lung cancers (NSCLC). The type of cancer is determined by looking at the specific type of cancer cells that are present.","Coughing up blood (hemoptysis);Fatigue;Generalized weakness (asthenia);Shortness of breath (dyspnea);Anxious mood;Depressed mood;Insomnia;Pain;Cough;Decreased appetite;Wheezing;Chest pain","Chemotherapy;
more
;Radiation Therapy;
more
;Lung lobectomy;
more
;Erlotinib;
more
;Nivolumab;
more
;Afatinib;
more
;Crizotinib;
more
;Pneumonectomy;Pemetrexed;
more
;Gefitinib;
more
","<20;9;20s;83;30s;152;40s;448;50s;1,589;60s;2,027;70+;1,269","Female=71%;Male=29%",66
"67","Testicular cancer","Testicular cancer is cancer that starts in the testicles, the male reproductive glands located in the scrotum.","Fatigue;Depressed mood;Anxious mood;Insomnia;Pain","Etifoxine;Trazodone;Alprazolam;BEP protocol;Bilateral Orchiectomy;Bupropion;Clonazepam;Desvenlafaxine;Diazepam;Duloxetine","<20;0;20s;4;30s;20;40s;19;50s;10;60s;5;70+;1","Female=3%;Male=97%",67
"68","Prostate cancer","Prostate cancer is a malignant tumor involving the prostate gland.  Prostate cancer is generally slow growing and is seen more often in men over the age of 50.","Fatigue;Insomnia;Anxious mood;Depressed mood;Pain","Prostatectomy;
more
;Radiation Therapy;
more
;Leuprolide (Leuprorelin);
more
;Bicalutamide;
more
;Chemotherapy;Citalopram;Enzalutamide;Fluoxetine;Hormone Therapy for Prostate Cancer (androgen deprivation therapy);Tramadol","<20;1;20s;11;30s;29;40s;51;50s;159;60s;371;70+;266","Female=4%;Male=96%",68
"69","Pancreatic cancer","Pancreatic cancer is a malignant neoplasm of the pancreas.","Fatigue;Insomnia;Anxious mood;Pain;Depressed mood","Gemcitabine;Chemotherapy;Digestive Enzymes;Everolimus;
more
;Fluorouracil;Greens Superfoods;Irinotecan;Oxaliplatin;Oxycodone;Oxycodone-acetaminophen","<20;0;20s;3;30s;12;40s;23;50s;49;60s;76;70+;50","Female=42%;Male=58%",69
"70","Non-Hodgkin's lymphoma","Non-Hodgkin lymphomas (NHL) are a group of blood cancers that vary significantly in their severity, from slow growing to very aggressive.  NHL may originate in the lymph nodes, bone marrow, the spleen, liver and gastrointestinal tract.","Fatigue;Insomnia;Anxious mood;Depressed mood;Pain","R-CHOP protocol;
more
;Rituximab;
more
;Bendamustine;
more
;Chemotherapy;Radiation Therapy;Diclofenac;Duloxetine;Gabapentin;Ibrutinib;Lenalidomide;
more
","<20;2;20s;20;30s;20;40s;47;50s;83;60s;120;70+;38","Female=59%;Male=41%",70
"71","Hodgkin's lymphoma","Hodgkin lymphoma, also called Hodgkin Disease is a cancer of the lymphatic system that is characterized by painless enlargement of lymph nodes, the spleen, or other lymphatic tissue.","Fatigue;Anxious mood;Insomnia;Pain;Depressed mood","ABVD regimen;
more
;Radiation Therapy;
more
;BEACOPP protocol;Chemotherapy;
more
;Stem Cell Transplant;Bromazepam;Duloxetine;Gabapentin;Heated Intraperitoneal Chemotherapy HIPEC;Modafinil","<20;1;20s;14;30s;37;40s;28;50s;29;60s;12;70+;7","Female=68%;Male=32%",71
"72","Thyroid cancer","Thyroid cancer is a malignancy arising from the thyroid gland. Thyroid cancers are classified as  follicular, papillary, medullary, poorly differentiated, and anaplastic. Generally treatment includes surgery followed by radioactive iodine ablation and suppression of thyroid stimulating hormone.","Fatigue;Anxious mood;Pain;Insomnia;Depressed mood","Levothyroxine;
more
;Thyroidectomy;Radioactive iodine (I-131);
more
;Clonazepam;Alprazolam;Thyroid nodule biopsy;Hydrocodone-Acetaminophen;Hydrocodone ER;Hydroxyzine;Ice or Cold Packs","<20;2;20s;15;30s;53;40s;129;50s;130;60s;63;70+;13","Female=85%;Male=15%",72
